# tiempo	energia_plaqueta	O10	magnetizacion
1	0.366995	0.000000	0.004919
2	0.524884	0.000000	-0.004581
3	0.616416	0.000000	-0.000675
4	0.669078	0.000000	-0.002604
5	0.703029	0.000000	-0.005498
6	0.728202	0.000000	-0.001881
7	0.753086	0.000000	-0.000386
8	0.765143	0.000000	0.007234
9	0.769001	0.000000	0.000434
10	0.771508	0.000000	0.001784
11	0.778260	0.000000	0.003810
12	0.779707	0.000000	0.005015
13	0.790220	0.000000	0.008005
14	0.793692	0.000000	0.004774
15	0.795621	0.000000	0.001640
16	0.797647	0.000000	0.002652
17	0.807099	0.000000	-0.004967
18	0.806906	0.000000	0.000482
19	0.807292	0.000000	-0.002459
20	0.803916	0.000000	-0.004099
21	0.809028	0.000000	-0.004630
