# tiempo	energia_plaqueta	w10	magnetizacion
1	0.372878	-0.000482	-0.003038
2	0.533468	0.001929	-0.007330
3	0.613233	0.002797	-0.003569
4	0.669753	-0.008681	-0.004147
5	0.713059	-0.007330	-0.004099
6	0.728299	-0.007137	-0.001881
7	0.745370	0.004726	0.003810
8	0.754051	0.002218	-0.000723
9	0.768422	-0.001640	0.000627
10	0.785687	0.007813	0.000000
11	0.794946	0.006173	0.002315
12	0.801022	0.005980	0.001399
13	0.806713	-0.000289	0.000193
14	0.813175	0.009259	0.003858
15	0.810860	0.001447	0.007475
16	0.819541	-0.003086	0.005546
17	0.820795	0.002797	-0.001254
18	0.820602	-0.002315	0.008488
19	0.820602	0.002990	0.006752
20	0.821566	-0.005208	0.004774
21	0.809221	-0.002315	0.004485
22	0.818383	0.006559	-0.000820
23	0.819252	0.001736	-0.005401
24	0.824556	0.004630	-0.005112
25	0.824363	-0.000579	-0.003906
26	0.828511	-0.007330	-0.004244
27	0.826485	0.006655	-0.002025
28	0.830826	0.007137	-0.001061
29	0.832272	-0.001640	-0.004630
30	0.825714	0.007330	-0.008005
31	0.824074	-0.002604	-0.007137
32	0.822627	-0.002701	-0.006896
33	0.820216	-0.004244	-0.006076
34	0.823688	-0.011478	-0.003231
35	0.822917	-0.002894	-0.003038
36	0.821663	-0.003086	-0.006269
37	0.820505	0.000772	-0.007427
38	0.815779	-0.005015	-0.009211
39	0.815586	-0.005112	-0.012973
40	0.817998	-0.000868	-0.010899
41	0.819541	-0.004823	-0.006655
42	0.820313	0.001543	-0.006848
43	0.817323	0.009645	-0.007137
44	0.824653	0.004823	-0.005883
45	0.820313	-0.004919	-0.003520
46	0.825231	-0.000193	0.001784
47	0.823013	0.006944	-0.002267
48	0.825907	0.002894	-0.000530
49	0.833912	0.001061	0.004774
50	0.827160	0.006848	-0.000338
51	0.824460	-0.003376	-0.000772
52	0.822338	-0.000675	-0.006076
53	0.824942	-0.000579	-0.005883
54	0.830054	0.007909	-0.005787
55	0.832272	0.001350	-0.008488
56	0.833333	-0.002025	-0.008632
57	0.838156	-0.002990	-0.010368
58	0.841242	0.000772	-0.008777
59	0.838156	0.005594	-0.009500
60	0.832272	0.000868	-0.009983
61	0.830150	0.000772	-0.009886
62	0.832369	-0.001929	-0.011671
63	0.834008	-0.000482	-0.013889
64	0.836034	-0.006269	-0.013937
65	0.833140	-0.008584	-0.014805
66	0.829958	0.000193	-0.019483
67	0.832948	-0.002411	-0.018856
68	0.833044	0.000868	-0.017313
69	0.830150	-0.005980	-0.019917
70	0.827932	-0.005691	-0.013744
71	0.827450	0.002990	-0.013069
72	0.824267	-0.000482	-0.010320
73	0.822820	0.001157	-0.010899
74	0.823978	-0.002797	-0.006269
75	0.820023	-0.005883	-0.008681
76	0.819444	-0.001736	-0.003617
77	0.820313	0.004244	-0.009018
78	0.823110	-0.003954	-0.004678
79	0.824171	-0.002218	-0.007378
80	0.822917	0.001254	-0.006703
81	0.822820	-0.008681	0.000386
82	0.818383	-0.000482	0.000193
83	0.821856	0.009356	-0.000530
84	0.825714	-0.001447	-0.000530
85	0.822242	-0.008102	-0.000627
86	0.820409	-0.002990	-0.004630
87	0.815394	0.000096	-0.001543
88	0.812307	0.002411	-0.008150
89	0.812789	0.001833	-0.001640
90	0.814815	0.001157	-0.007475
91	0.816551	0.002701	-0.003328
92	0.819734	0.007427	-0.002556
93	0.824942	0.005691	-0.005835
94	0.825424	0.001157	-0.005546
95	0.818769	-0.003183	-0.002797
96	0.823881	-0.001543	-0.000530
97	0.827643	0.006076	-0.001399
98	0.826003	-0.002315	-0.000338
99	0.822338	-0.000772	-0.000965
100	0.822434	0.006559	0.002942
101	0.819155	0.005980	0.002363
102	0.817130	-0.002894	0.003086
103	0.821470	-0.001543	-0.000530
104	0.828221	-0.008005	-0.006510
105	0.827064	0.007523	-0.007523
106	0.825328	-0.001254	-0.004967
107	0.824942	-0.003376	-0.005739
108	0.827160	0.003472	-0.008295
109	0.833237	-0.000482	-0.007523
110	0.835552	0.004340	-0.008391
111	0.836130	-0.007909	-0.007764
112	0.838252	0.002701	-0.005691
113	0.834105	0.002218	-0.011333
114	0.836420	0.015143	-0.011767
115	0.838156	-0.000868	-0.006944
116	0.839120	0.005691	-0.013455
117	0.834008	0.000000	-0.012394
118	0.833719	-0.003183	-0.009259
119	0.831694	0.003569	-0.010947
120	0.836130	-0.002508	-0.007620
121	0.838638	-0.002122	-0.002411
122	0.845390	-0.003665	-0.007427
123	0.838252	-0.007137	0.000000
124	0.834780	0.010706	-0.003135
125	0.827643	-0.004147	-0.002074
126	0.835262	-0.000386	-0.001688
127	0.827643	-0.002122	-0.004726
128	0.831694	0.001833	-0.005498
129	0.836323	-0.000675	-0.003665
130	0.834780	-0.002990	-0.008247
131	0.830826	-0.002411	-0.005498
132	0.832658	0.001157	-0.008005
133	0.830343	0.001157	-0.001881
134	0.834298	-0.007716	-0.001254
135	0.828607	0.004823	-0.005015
136	0.835359	-0.002604	-0.001350
137	0.841339	0.003183	0.000772
138	0.839410	0.004823	0.004003
139	0.834491	-0.004147	0.002990
140	0.832369	0.002797	0.000579
141	0.826968	-0.000772	0.000916
142	0.834780	-0.000965	0.004340
143	0.833430	0.002315	0.004678
144	0.829475	-0.002797	0.002122
145	0.826292	0.002990	0.002845
146	0.826582	-0.003183	0.005498
147	0.832755	-0.010610	0.004967
148	0.837770	0.002990	0.008873
149	0.839988	0.003376	0.003810
150	0.834587	-0.002508	0.005787
151	0.834780	0.002508	0.005787
152	0.837867	0.005980	0.003328
153	0.832851	-0.003376	0.007378
154	0.839410	-0.002701	0.006510
155	0.834105	-0.004051	0.008970
156	0.832079	-0.003279	0.010947
157	0.831308	-0.005498	0.006462
158	0.831308	-0.002025	0.007764
159	0.833237	0.001254	0.007427
160	0.835455	0.000965	0.010272
161	0.833430	-0.000772	0.010127
162	0.833333	-0.000482	0.006076
163	0.824749	-0.002411	0.005015
164	0.828125	0.005208	0.003906
165	0.829475	0.003279	-0.000723
166	0.826196	0.008970	0.001688
167	0.827932	0.004437	-0.001061
168	0.830633	-0.007234	0.002122
169	0.826871	0.001543	-0.001302
170	0.827064	-0.005305	-0.001350
171	0.823110	0.000386	-0.009838
172	0.824363	-0.004147	-0.002556
173	0.828318	-0.001447	-0.002315
174	0.834973	0.002701	-0.000627
175	0.832562	0.002701	-0.000482
176	0.833140	0.001254	-0.002122
177	0.829282	-0.010031	-0.001543
178	0.830922	0.002990	-0.001640
179	0.833526	0.005787	-0.000916
180	0.830054	-0.004533	0.002797
181	0.835938	0.004147	-0.000096
182	0.831211	0.009645	0.002074
183	0.832948	-0.002701	0.002652
184	0.831790	0.000772	0.002894
185	0.831694	-0.001833	0.000965
186	0.834973	0.000482	0.002990
187	0.832755	0.003279	0.001591
188	0.834008	0.006944	0.002942
189	0.828414	-0.006944	0.002845
190	0.826582	-0.000675	0.000820
191	0.826775	0.001157	0.003810
192	0.827160	-0.002025	0.007137
193	0.825714	0.004919	0.005449
194	0.832465	-0.003376	0.005835
195	0.831597	0.008681	0.006752
196	0.836323	0.001061	0.004919
197	0.840471	0.003279	0.005546
198	0.835938	0.001157	0.004340
199	0.838735	0.004051	0.002122
200	0.839796	-0.003279	0.002797
201	0.834780	0.009163	0.002749
202	0.832079	0.002218	0.000482
203	0.832562	-0.004147	-0.003038
204	0.831983	-0.005594	-0.002025
205	0.828511	0.001157	-0.002122
206	0.827064	0.001157	-0.002556
207	0.832755	0.004726	-0.003376
208	0.837095	-0.004340	0.002797
209	0.831115	-0.003954	0.000820
210	0.827643	-0.000386	0.005932
211	0.826775	-0.001350	0.004630
212	0.830922	0.002025	0.003858
213	0.825810	-0.000675	0.005594
214	0.823399	0.011574	0.003279
215	0.819155	0.004533	0.002122
216	0.823302	-0.015432	0.002604
217	0.827932	0.000386	0.001881
218	0.827836	-0.000868	0.001495
219	0.824171	0.000868	0.005112
220	0.822531	0.001736	0.006896
221	0.818383	-0.000579	0.005739
222	0.819637	-0.002315	0.000820
223	0.819348	0.000193	-0.000916
224	0.815201	-0.002990	0.002942
225	0.819637	0.004630	0.003086
226	0.824749	-0.002990	-0.001881
227	0.827836	0.009259	-0.000289
228	0.826485	0.006269	-0.002508
229	0.827257	-0.000772	-0.001591
230	0.817226	-0.011188	0.004292
231	0.817226	-0.001447	0.002942
232	0.820795	-0.016300	0.004678
233	0.817805	0.000675	0.002990
234	0.815876	0.000675	0.003231
235	0.816262	0.000675	0.003424
236	0.812018	-0.007427	0.002749
237	0.814815	-0.004533	0.005883
