# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
1573	0.739352	0.083224	-0.000272	0.000427	-0.002189	0.002107	632.000000	199.223493	0.766744	0.053449	-0.000918	0.000341	-0.005440	0.001568	633.000000	199.223493	0.785455	0.037488	-0.000666	0.000322	-0.006481	0.001341
1576	0.797512	0.028760	0.000407	0.000554	-0.007157	0.001336	635.000000	199.223493	0.804128	0.022601	0.000005	0.000606	-0.005131	0.002624	636.000000	199.223493	0.811535	0.018469	0.000265	0.000255	-0.005517	0.003342
1579	0.816763	0.015448	0.000219	0.000411	-0.002942	0.002354	638.000000	199.223493	0.817091	0.013723	-0.000820	0.000290	-0.002826	0.002899	639.000000	199.223493	0.819155	0.011125	-0.000865	0.000534	-0.001794	0.002639
1582	0.821354	0.010169	-0.001178	0.000620	-0.002710	0.002462	641.000000	199.223493	0.822782	0.008660	-0.000657	0.000557	-0.002691	0.002160	642.000000	199.223493	0.822724	0.007177	-0.000016	0.000227	-0.001071	0.001907
1585	0.824074	0.005431	-0.000037	0.000098	-0.002016	0.001550	644.000000	199.223493	0.822222	0.004174	0.000467	0.000606	-0.001775	0.001264	645.000000	199.223493	0.821238	0.004558	-0.000811	0.000347	-0.000849	0.001439
1588	0.821026	0.003344	-0.000897	0.000404	-0.000598	0.001854	647.000000	199.223493	0.823302	0.002640	-0.000422	0.000392	-0.000135	0.001761	648.000000	199.223493	0.824093	0.003413	-0.000163	0.000564	-0.000338	0.001693
1591	0.823843	0.003144	-0.000297	0.000701	0.002469	0.001476	650.000000	199.223493	0.820312	0.002292	0.000113	0.000308	0.002103	0.002225	651.000000	199.223493	0.819927	0.003077	0.000161	0.000249	0.001263	0.001817
1594	0.819425	0.002698	0.000043	0.000394	0.001813	0.001147	653.000000	199.223493	0.823766	0.002835	-0.000473	0.000466	0.001312	0.002012	654.000000	199.223493	0.823746	0.002692	-0.000248	0.000393	0.001485	0.002618
1597	0.825328	0.002844	-0.001042	0.000461	0.002527	0.002181	656.000000	199.223493	0.822511	0.003099	-0.001034	0.000525	0.002730	0.002130	657.000000	199.223493	0.819425	0.002925	0.000116	0.000445	0.003617	0.001811
1600	0.821123	0.002397	0.000078	0.000464	0.002990	0.002117	659.000000	199.223493	0.824499	0.002116	0.000069	0.000238	0.003308	0.001943	660.000000	199.223493	0.825521	0.002732	0.001196	0.000410	0.002161	0.001569
1603	0.828472	0.002700	0.000825	0.000327	0.000974	0.001780	662.000000	199.223493	0.830536	0.002234	-0.000276	0.000651	0.000887	0.002070	663.000000	199.223493	0.832272	0.002052	-0.000099	0.000400	0.000588	0.001370
1606	0.833700	0.002467	-0.000658	0.000431	0.000251	0.001340	665.000000	199.223493	0.831829	0.002856	0.000819	0.000506	-0.002026	0.001316	666.000000	199.223493	0.830614	0.003050	-0.000628	0.000302	-0.003318	0.001609
