# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
1573	0.798487	0.061882	0.061220	0.060955	-0.058738	0.126798	632.000000	0.000000	0.813025	0.045448	0.052339	0.052465	-0.058071	0.124578	633.000000	0.000000	0.820799	0.034505	0.043797	0.043855	0.000000	0.000000
1576	0.824943	0.028063	0.038411	0.038443	-0.055890	0.119334	635.000000	0.000000	0.828476	0.024197	0.033421	0.033570	-0.054091	0.116510	636.000000	0.000000	0.831500	0.020617	0.028743	0.028750	0.000000	0.000000
1579	0.833140	0.017963	0.025829	0.025991	-0.050687	0.110376	638.000000	0.000000	0.833472	0.017040	0.024405	0.024643	-0.049157	0.107100	639.000000	0.000000	0.834027	0.015507	0.022649	0.023063	0.000000	0.000000
1582	0.834339	0.014537	0.020606	0.021183	-0.046876	0.100280	641.000000	0.000000	0.834521	0.014029	0.018274	0.019018	-0.045180	0.096935	642.000000	0.000000	0.834771	0.012943	0.015945	0.016605	0.000000	0.000000
1585	0.835376	0.012065	0.014264	0.015035	-0.042102	0.090019	644.000000	0.000000	0.835402	0.011478	0.012873	0.013849	-0.040591	0.086401	645.000000	0.000000	0.835292	0.010623	0.011891	0.012907	0.000000	0.000000
1588	0.834458	0.009614	0.009939	0.011568	-0.037047	0.079141	647.000000	0.000000	0.834204	0.009620	0.009572	0.011117	-0.035729	0.075642	648.000000	0.000000	0.834618	0.009352	0.008971	0.010646	0.000000	0.000000
1591	0.834669	0.008637	0.008074	0.009682	-0.033147	0.069021	650.000000	0.000000	0.833937	0.008269	0.006616	0.007661	-0.031140	0.065949	651.000000	0.000000	0.833876	0.008371	0.005563	0.006587	0.000000	0.000000
1594	0.834036	0.008335	0.004876	0.006048	-0.028392	0.059929	653.000000	0.000000	0.834655	0.007735	0.004920	0.005688	-0.027373	0.056623	654.000000	0.000000	0.835044	0.007174	0.003814	0.004798	0.000000	0.000000
1597	0.834885	0.006554	0.003128	0.003750	-0.024945	0.050965	656.000000	0.000000	0.834473	0.006603	0.002921	0.003430	-0.023693	0.048278	657.000000	0.000000	0.833716	0.006573	0.002413	0.003105	0.000000	0.000000
1600	0.833789	0.006456	0.002117	0.002867	-0.021163	0.043575	659.000000	0.000000	0.833902	0.005438	0.002156	0.002797	-0.019611	0.041009	660.000000	0.000000	0.833483	0.005322	0.001941	0.002156	0.000000	0.000000
1603	0.833823	0.005715	0.001827	0.002180	-0.017857	0.036574	662.000000	0.000000	0.833754	0.005059	0.001289	0.001892	-0.017105	0.034149	663.000000	0.000000	0.834093	0.005540	0.001384	0.001671	0.000000	0.000000
1606	0.834299	0.005781	0.001063	0.001303	-0.015790	0.029822	665.000000	0.000000	0.834039	0.005564	0.001071	0.001338	-0.014735	0.028201	666.000000	0.000000	0.834070	0.004692	0.000779	0.001119	0.000000	0.000000
1609	0.833847	0.004417	0.000593	0.000729	-0.012843	0.025112	668.000000	0.000000	0.833697	0.004889	0.000485	0.000662	-0.011440	0.023544	669.000000	0.000000	0.833331	0.004344	0.000376	0.000703	0.000000	0.000000
1612	0.833117	0.004220	0.000262	0.000670	-0.009584	0.021020	671.000000	0.000000	0.833427	0.004057	0.000329	0.000941	-0.008743	0.019727	672.000000	0.000000	0.833282	0.003696	0.000417	0.000672	0.000000	0.000000
1615	0.833264	0.003991	0.000390	0.000765	-0.007801	0.017220	674.000000	0.000000	0.833813	0.003670	0.000201	0.000675	-0.007375	0.015819	675.000000	0.000000	0.832991	0.004047	0.000015	0.000774	0.000000	0.000000
1618	0.832991	0.004454	0.000303	0.000928	-0.006637	0.013437	677.000000	0.000000	0.832651	0.004733	0.000155	0.000622	-0.006051	0.012593	678.000000	0.000000	0.831746	0.005002	0.000061	0.000575	0.000000	0.000000
1621	0.831979	0.004847	0.000300	0.000604	-0.005141	0.010825	680.000000	0.000000	0.832142	0.003809	0.000296	0.000536	-0.004677	0.010211	681.000000	0.000000	0.832026	0.003688	0.000133	0.000615	0.000000	0.000000
1624	0.832284	0.004330	0.000295	0.000595	-0.003855	0.008809	683.000000	0.000000	0.832282	0.004146	-0.000002	0.000521	-0.003669	0.008247	684.000000	0.000000	0.832255	0.003948	0.000149	0.000730	0.000000	0.000000
1627	0.831827	0.003319	-0.000018	0.000584	-0.003052	0.007083	686.000000	0.000000	0.831417	0.003156	-0.000052	0.000652	-0.002841	0.006733	687.000000	0.000000	0.831144	0.003495	-0.000018	0.000553	0.000000	0.000000
1630	0.830529	0.003593	0.000017	0.000528	-0.001849	0.005573	689.000000	0.000000	0.830944	0.003272	0.000141	0.000551	-0.001585	0.005408	690.000000	0.000000	0.830519	0.002847	0.000000	0.000508	0.000000	0.000000
1633	0.830114	0.002922	0.000136	0.000455	-0.001306	0.005388	692.000000	0.000000	0.829861	0.002824	0.000160	0.000537	-0.001527	0.004886	693.000000	0.000000	0.829701	0.002412	0.000203	0.000557	0.000000	0.000000
1636	0.830010	0.002014	0.000048	0.000539	-0.001438	0.004387	695.000000	0.000000	0.829735	0.002388	0.000057	0.000708	-0.001122	0.004062	696.000000	0.000000	0.829513	0.002537	0.000064	0.000553	0.000000	0.000000
1639	0.829718	0.003320	0.000034	0.000500	-0.000986	0.003935	698.000000	0.000000	0.829746	0.003440	0.000040	0.000557	-0.001423	0.003984	699.000000	0.000000	0.830232	0.002850	0.000131	0.000650	0.000000	0.000000
1642	0.830252	0.002934	-0.000012	0.000641	-0.001371	0.003630	701.000000	0.000000	0.830625	0.002844	0.000299	0.000738	-0.000759	0.003308	702.000000	0.000000	0.831079	0.002826	0.000192	0.000488	0.000000	0.000000
