----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30719138e-01	7.25303791e-03	-1.85463522e-01	8.73103504e-03
2	5.34734559e-01	1.86286317e-02	-6.25984806e-01	3.48371567e-02
3	2.89388459e-01	2.32817271e-02	-1.23998534e+00	8.04514706e-02
4	1.35055783e-01	2.07003180e-02	-2.00206738e+00	1.53272355e-01
5	5.47977341e-02	1.51961855e-02	-2.90410643e+00	2.77314122e-01
6	1.94346955e-02	1.03542221e-02	-3.94069538e+00	5.32769965e-01
7	6.02020544e-03	7.53200247e-03	-5.11263389e+00	1.25112051e+00
8	1.62919762e-03	6.28750487e-03	-6.41966764e+00	3.85926471e+00
9	3.67750240e-04	5.72761087e-03	-7.90810655e+00	1.55747305e+01
10	6.27114600e-05	5.45622132e-03	-9.67696635e+00	8.70051714e+01
11	-1.08521400e-05	4.92077937e-03	nan	-4.53438619e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_1.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30782061e-01	7.28153522e-03	-1.85387780e-01	8.76467555e-03
2	5.34873138e-01	1.86446627e-02	-6.25725685e-01	3.48581026e-02
3	2.89510379e-01	2.33058551e-02	-1.23956413e+00	8.05009311e-02
4	1.35142650e-01	2.06543984e-02	-2.00142439e+00	1.52834049e-01
5	5.48361023e-02	1.51345608e-02	-2.90340650e+00	2.75996291e-01
6	1.94199296e-02	1.02967886e-02	-3.94145544e+00	5.30217606e-01
7	6.06406508e-03	7.54666274e-03	-5.10537490e+00	1.24448908e+00
8	1.66745816e-03	6.31423997e-03	-6.39645487e+00	3.78674567e+00
9	4.17003840e-04	5.74953477e-03	-7.78241513e+00	1.37877262e+01
10	8.52093600e-05	5.45445965e-03	-9.37039927e+00	6.40124471e+01
11	3.14702000e-06	4.89206702e-03	-1.26690546e+01	1.55450776e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_10.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30665693e-01	7.23094092e-03	-1.85527860e-01	8.70499526e-03
2	5.34529998e-01	1.85557763e-02	-6.26367426e-01	3.47141908e-02
